Sample,Doxorubicin,Navitoclax,Doxorubicin:navitoclax
GDC.LE_LAML.TCGA_AB_2845_10671.b,NA,NA,NA
GDC.LE_LAML.TCGA_AB_2846_09140.b,NA,NA,NA
GDC.LE_LAML.TCGA_AB_2847_08097.b,NA,NA,NA
GDC.LE_LAML.TCGA_AB_2849_08062.b,NA,NA,NA
GDC.LE_LAML.TCGA_AB_2851_09955.b,NA,NA,NA
GDC.LE_LAML.TCGA_AB_2853_08799.b,NA,NA,NA
GDC.LE_LAML.TCGA_AB_2856_07577.b,NA,NA,NA
GDC.LE_LAML.TCGA_AB_2857_04627.b,NA,NA,NA
GDC.LE_LAML.TCGA_AB_2858_09665.b,NA,NA,NA
GDC.LE_LAML.TCGA_AB_2859_06768.b,NA,NA,NA
GDC.LE_LAML.TCGA_AB_2861_06035.b,NA,NA,NA
GDC.LE_LAML.TCGA_AB_2862_09187.b,NA,NA,NA
GDC.LE_LAML.TCGA_AB_2863_10997.b,NA,NA,NA
GDC.LE_LAML.TCGA_AB_2865_10505.b,NA,NA,NA
GDC.LE_LAML.TCGA_AB_2866_08216.b,NA,NA,NA
GDC.LE_LAML.TCGA_AB_2867_10099.b,NA,NA,NA
GDC.LE_LAML.TCGA_AB_2869_06993.b,NA,NA,NA
GDC.LE_LAML.TCGA_AB_2870_07927.b,NA,NA,NA
GDC.LE_LAML.TCGA_AB_2871_04758.b,NA,NA,NA
GDC.LE_LAML.TCGA_AB_2872_07071.b,NA,NA,NA
GDC.LE_LAML.TCGA_AB_2873_07442.b,NA,NA,NA
GDC.LE_LAML.TCGA_AB_2874_05228.b,NA,NA,NA
GDC.LE_LAML.TCGA_AB_2875_10915.b,NA,NA,NA
GDC.LE_LAML.TCGA_AB_2876_03856.b,NA,NA,NA
GDC.LE_LAML.TCGA_AB_2877_07664.b,NA,NA,NA
GDC.LE_LAML.TCGA_AB_2878_06464.b,NA,NA,NA
GDC.LE_LAML.TCGA_AB_2880_04902.b,NA,NA,NA
GDC.LE_LAML.TCGA_AB_2881_10821.b,NA,NA,NA
GDC.LE_LAML.TCGA_AB_2882_06987.b,NA,NA,NA
GDC.LE_LAML.TCGA_AB_2883_09379.b,NA,NA,NA
GDC.LE_LAML.TCGA_AB_2884_09471.b,NA,NA,NA
GDC.LE_LAML.TCGA_AB_2885_09117.b,NA,NA,NA
GDC.LE_LAML.TCGA_AB_2886_06215.b,NA,NA,NA
GDC.LE_LAML.TCGA_AB_2888_04610.b,NA,NA,NA
GDC.LE_LAML.TCGA_AB_2889_06725.b,NA,NA,NA
GDC.LE_LAML.TCGA_AB_2890_10370.b,NA,NA,NA
GDC.LE_LAML.TCGA_AB_2891_04351.b,NA,NA,NA
GDC.LE_LAML.TCGA_AB_2892_07721.b,NA,NA,NA
GDC.LE_LAML.TCGA_AB_2893_06370.b,NA,NA,NA
GDC.LE_LAML.TCGA_AB_2894_09483.b,NA,NA,NA
GDC.LE_LAML.TCGA_AB_2895_09528.b,NA,NA,NA
GDC.LE_LAML.TCGA_AB_2896_09537.b,NA,NA,NA
GDC.LE_LAML.TCGA_AB_2897_06605.b,NA,NA,NA
GDC.LE_LAML.TCGA_AB_2898_08791.b,NA,NA,NA
GDC.LE_LAML.TCGA_AB_2899_07932.b,NA,NA,NA
GDC.LE_LAML.TCGA_AB_2900_05441.b,NA,NA,NA
GDC.LE_LAML.TCGA_AB_2901_04154.b,NA,NA,NA
GDC.LE_LAML.TCGA_AB_2908_08729.b,NA,NA,NA
GDC.LE_LAML.TCGA_AB_2910_07335.b,NA,NA,NA
GDC.LE_LAML.TCGA_AB_2911_08224.b,NA,NA,NA
GDC.LE_LAML.TCGA_AB_2912_09750.b,NA,NA,NA
GDC.LE_LAML.TCGA_AB_2913_10844.b,NA,NA,NA
GDC.LE_LAML.TCGA_AB_2914_08925.b,NA,NA,NA
GDC.LE_LAML.TCGA_AB_2915_03541.b,NA,NA,NA
GDC.LE_LAML.TCGA_AB_2916_06171.b,NA,NA,NA
GDC.LE_LAML.TCGA_AB_2917_07459.b,NA,NA,NA
GDC.LE_LAML.TCGA_AB_2918_07075.b,NA,NA,NA
GDC.LE_LAML.TCGA_AB_2919_07967.b,NA,NA,NA
GDC.LE_LAML.TCGA_AB_2920_04077.b,NA,NA,NA
GDC.LE_LAML.TCGA_AB_2921_04050.b,NA,NA,NA
GDC.LE_LAML.TCGA_AB_2924_05291.b,NA,NA,NA
GDC.LE_LAML.TCGA_AB_2925_09112.b,NA,NA,NA
GDC.LE_LAML.TCGA_AB_2927_09838.b,NA,NA,NA
GDC.LE_LAML.TCGA_AB_2928_06697.b,NA,NA,NA
GDC.LE_LAML.TCGA_AB_2929_06779.b,NA,NA,NA
GDC.LE_LAML.TCGA_AB_2930_05692.b,NA,NA,NA
GDC.LE_LAML.TCGA_AB_2931_05302.b,NA,NA,NA
GDC.LE_LAML.TCGA_AB_2932_06049.b,NA,NA,NA
GDC.LE_LAML.TCGA_AB_2933_04797.b,NA,NA,NA
GDC.LE_LAML.TCGA_AB_2934_07794.b,NA,NA,NA
GDC.LE_LAML.TCGA_AB_2935_10032.b,NA,NA,NA
GDC.LE_LAML.TCGA_AB_2936_04060.b,NA,NA,NA
GDC.LE_LAML.TCGA_AB_2937_08717.b,NA,NA,NA
GDC.LE_LAML.TCGA_AB_2938_07668.b,NA,NA,NA
GDC.LE_LAML.TCGA_AB_2939_09286.b,NA,NA,NA
GDC.LE_LAML.TCGA_AB_2940_04550.b,NA,NA,NA
GDC.LE_LAML.TCGA_AB_2941_04397.b,NA,NA,NA
GDC.LE_LAML.TCGA_AB_2942_07892.b,NA,NA,NA
GDC.LE_LAML.TCGA_AB_2943_06995.b,NA,NA,NA
GDC.LE_LAML.TCGA_AB_2944_06981.b,NA,NA,NA
GDC.LE_LAML.TCGA_AB_2946_10726.b,NA,NA,NA
GDC.LE_LAML.TCGA_AB_2948_05017.b,NA,NA,NA
GDC.LE_LAML.TCGA_AB_2949_06018.b,NA,NA,NA
GDC.LE_LAML.TCGA_AB_2950_07435.b,NA,NA,NA
GDC.LE_LAML.TCGA_AB_2952_07552.b,NA,NA,NA
GDC.LE_LAML.TCGA_AB_2955_03749.b,NA,NA,NA
GDC.LE_LAML.TCGA_AB_2956_08526.b,NA,NA,NA
GDC.LE_LAML.TCGA_AB_2959_08324.b,NA,NA,NA
GDC.LE_LAML.TCGA_AB_2963_06907.b,NA,NA,NA
GDC.LE_LAML.TCGA_AB_2965_04512.b,NA,NA,NA
GDC.LE_LAML.TCGA_AB_2966_04614.b,NA,NA,NA
GDC.LE_LAML.TCGA_AB_2970_06058.b,NA,NA,NA
GDC.LE_LAML.TCGA_AB_2971_06389.b,NA,NA,NA
GDC.LE_LAML.TCGA_AB_2973_07748.b,NA,NA,NA
GDC.LE_LAML.TCGA_AB_2975_09933.b,NA,NA,NA
GDC.LE_LAML.TCGA_AB_2976_04487.b,NA,NA,NA
GDC.LE_LAML.TCGA_AB_2977_09872.b,NA,NA,NA
GDC.LE_LAML.TCGA_AB_2979_04148.b,NA,NA,NA
GDC.LE_LAML.TCGA_AB_2980_08592.b,NA,NA,NA
GDC.LE_LAML.TCGA_AB_2981_10841.b,NA,NA,NA
GDC.LE_LAML.TCGA_AB_2982_06884.b,NA,NA,NA
GDC.LE_LAML.TCGA_AB_2983_03819.b,NA,NA,NA
GDC.LE_LAML.TCGA_AB_2984_06920.b,NA,NA,NA
GDC.LE_LAML.TCGA_AB_2986_10552.b,NA,NA,NA
GDC.LE_LAML.TCGA_AB_2987_04698.b,NA,NA,NA
GDC.LE_LAML.TCGA_AB_2988_09861.b,NA,NA,NA
GDC.LE_LAML.TCGA_AB_2990_05367.b,NA,NA,NA
GDC.LE_LAML.TCGA_AB_2991_08301.b,NA,NA,NA
GDC.LE_LAML.TCGA_AB_2992_10393.b,NA,NA,NA
GDC.LE_LAML.TCGA_AB_2994_09190.b,NA,NA,NA
GDC.LE_LAML.TCGA_AB_2995_09970.b,NA,NA,NA
GDC.LE_LAML.TCGA_AB_2996_04732.b,NA,NA,NA
GDC.LE_LAML.TCGA_AB_2998_08043.b,NA,NA,NA
GDC.LE_LAML.TCGA_AB_2999_06397.b,NA,NA,NA
GDC.LE_LAML.TCGA_AB_3000_07214.b,NA,NA,NA
GDC.LE_LAML.TCGA_AB_3001_07671.b,NA,NA,NA
GDC.LE_LAML.TCGA_AB_3002_05354.b,NA,NA,NA
GDC.LE_LAML.TCGA_AB_3007_05005.b,NA,NA,NA
GDC.LE_LAML.TCGA_AB_3008_09992.b,NA,NA,NA
GDC.LE_LAML.TCGA_AB_3009_03960.b,NA,NA,NA
GDC.LE_LAML.TCGA_AB_3011_03991.b,NA,NA,NA
GDC.LE_LAML.TCGA_AB_3012_04824.b,NA,NA,NA
GDSC.697,1,1,NA
GDSC.ALL-SIL,1,1,NA
GDSC.BL-41,1,0,NA
GDSC.BL-70,1,NA,NA
GDSC.BV-173,0,1,NA
GDSC.CA46,1,0,NA
GDSC.CCRF-CEM,1,1,NA
GDSC.CMK,1,1,NA
GDSC.CML-T1,NA,1,NA
GDSC.DEL,1,0,NA
GDSC.DND-41,1,1,NA
GDSC.Daudi,1,0,NA
GDSC.EHEB,1,1,NA
GDSC.EM-2,0,1,NA
GDSC.GA-10,NA,0,NA
GDSC.GDM-1,1,1,NA
GDSC.HD-MY-Z,1,0,NA
GDSC.HDLM-2,0,1,NA
GDSC.HEL,1,NA,NA
GDSC.HH,1,1,NA
GDSC.HL-60,1,1,NA
GDSC.HT,1,0,NA
GDSC.JURL-MK1,1,1,NA
GDSC.JVM-2,1,0,NA
GDSC.JVM-3,0,1,NA
GDSC.Jurkat,NA,0,NA
GDSC.K-562,1,0,NA
GDSC.KARPAS-299,1,0,NA
GDSC.KASUMI-1,NA,NA,NA
GDSC.KCL-22,1,0,NA
GDSC.KE-37,1,1,NA
GDSC.KG-1,1,1,NA
GDSC.KOPN-8,1,1,NA
GDSC.KU812,1,1,NA
GDSC.L-1236,0,1,NA
GDSC.L-428,0,1,NA
GDSC.L-540,1,0,NA
GDSC.LAMA-84,1,1,NA
GDSC.LOUCY,1,2,NA
GDSC.ME-1,0,1,NA
GDSC.MEC-1,0,0,NA
GDSC.MEG-01,1,1,NA
GDSC.MHH-CALL-2,NA,0,NA
GDSC.MM1S,NA,1,NA
GDSC.MOLM-13,1,1,NA
GDSC.MOLM-16,NA,1,NA
GDSC.MOLT-13,NA,1,NA
GDSC.MOLT-16,NA,1,NA
GDSC.MOLT-4,1,1,NA
GDSC.MONO-MAC-6,1,0,NA
GDSC.MV-4-11,1,1,NA
GDSC.NALM-6,1,1,NA
GDSC.NAMALWA,1,0,NA
GDSC.NB4,1,0,NA
GDSC.NOMO-1,1,1,NA
GDSC.OCI-AML2,1,1,NA
GDSC.OCI-AML3,1,0,NA
GDSC.OCI-AML5,1,1,NA
GDSC.OCI-M1,1,1,NA
GDSC.P12-ICHIKAWA,1,1,NA
GDSC.P31-FUJ,0,0,NA
GDSC.P3HR-1,1,NA,NA
GDSC.PF-382,1,1,NA
GDSC.PL-21,1,NA,NA
GDSC.RCH-ACV,NA,1,NA
GDSC.REH,2,1,NA
GDSC.RPMI-8402,1,1,NA
GDSC.RS4-11,1,1,NA
GDSC.Raji,1,0,NA
GDSC.SIG-M5,1,NA,NA
GDSC.SKM-1,NA,1,NA
GDSC.SR,1,0,NA
GDSC.ST486,1,1,NA
GDSC.SU-DHL-1,1,NA,NA
GDSC.SUP-B15,2,1,NA
GDSC.SUP-M2,1,0,NA
GDSC.SUP-T1,1,1,NA
GDSC.Set2,NA,1,NA
GDSC.TALL-1,0,NA,NA
GDSC.TF-1,1,NA,NA
GDSC.THP-1,0,1,NA
NCI60.CCRF-CEM,NA,NA,NA
NCI60.HL-60,NA,NA,NA
NCI60.K-562,NA,NA,NA
NCI60.MOLT-4,NA,NA,NA
NCI60.SR,NA,NA,NA
gCSI.CA46,1,NA,NA
gCSI.CI-1,1,NA,NA
gCSI.DAUDI,1,NA,NA
gCSI.DEL,NA,NA,NA
gCSI.EB1,1,NA,NA
gCSI.HEL,1,NA,NA
gCSI.HT,1,NA,NA
gCSI.K-562,1,NA,NA
gCSI.KE-97,0,NA,NA
gCSI.KG-1,1,NA,NA
gCSI.KHM-1B,1,NA,NA
gCSI.KMM-1,1,NA,NA
gCSI.KMS-26,1,NA,NA
gCSI.KMS-34,1,NA,NA
gCSI.KU812,0,NA,NA
gCSI.MV-4-11,1,NA,NA
gCSI.NALM-6,1,NA,NA
gCSI.NOMO-1,1,NA,NA
gCSI.OCI-AML2,1,NA,NA
gCSI.OCI-AML5,1,NA,NA
gCSI.RAJI,1,NA,NA
gCSI.SKM-1,1,NA,NA
gCSI.SU-DHL-1,1,NA,NA
